Problem,Level,Halo,DOF,InteriorDOF,ActiveDOF,ActiveFraction,TouchedCells,LocalNNZ,Energy,DirectEnergy,ProlongedEnergy,RecoveryFraction,WorkNormalizedRecovery,Solve_s
Localized reaction-diffusion layer,4,0,301,269,124,0.46096654275092935,366,482,0.012865170877677697,0.012326247670089425,0.0188045343212542,0.9326822923353986,2.023318843856631,0.003056302000004507
Localized reaction-diffusion layer,4,1,301,269,212,0.7881040892193308,472,1390,0.012416984656921795,0.012326247670089425,0.0188045343212542,0.9888675540469145,1.2547423209368869,0.006186119999938455
Localized reaction-diffusion layer,4,2,301,269,245,0.9107806691449815,516,1657,0.012370880959941136,0.012326247670089425,0.0188045343212542,0.9945341819307836,1.0919579385280849,0.009287465000056727
Localized reaction-diffusion layer,4,3,301,269,260,0.966542750929368,548,1764,0.012326252598886112,0.012326247670089425,0.0188045343212542,0.9999993975074443,1.0346147612673173,0.010508956000080616
Localized reaction-diffusion layer,4,999,301,269,269,1.0,568,1819,0.012326247670089425,0.012326247670089425,0.0188045343212542,1.0,1.0,0.010627081999928123
Localized reaction-diffusion layer,5,0,476,444,175,0.39414414414414417,512,721,0.009842363194813367,0.009615605649244791,0.012326332026218025,0.9258179907294218,2.3489325021935046,0.005120583999996597
Localized reaction-diffusion layer,5,1,476,444,305,0.6869369369369369,686,1977,0.009626240866459348,0.009615605649244791,0.012326332026218025,0.9965594137320414,1.4507291137607423,0.008146032000013292
Localized reaction-diffusion layer,5,2,476,444,376,0.8468468468468469,809,2518,0.009618220215145638,0.009615605649244791,0.012326332026218025,0.9991545175178436,1.1798526749412834,0.010127200000056291
Localized reaction-diffusion layer,5,3,476,444,416,0.9369369369369369,856,2860,0.009615610473615557,0.009615605649244791,0.012326332026218025,0.9999984401358865,1.067306027452725,0.011155065000025388
Localized reaction-diffusion layer,5,999,476,444,444,1.0,918,3044,0.009615605649244791,0.009615605649244791,0.012326332026218025,1.0,1.0,0.011745559999894795
Localized reaction-diffusion layer,6,0,879,847,403,0.4757969303423849,1164,1683,0.0067704101695014365,0.006623689739858492,0.009616054613257085,0.9595600706791837,2.0167428780775896,0.009739975999991657
Localized reaction-diffusion layer,6,1,879,847,671,0.7922077922077922,1466,4441,0.006646707133756363,0.006623689739858492,0.009616054613257085,0.9937144060090848,1.2543608075852382,0.017809684999974706
Localized reaction-diffusion layer,6,2,879,847,772,0.911452184179457,1608,5262,0.006632470344710473,0.006623689739858492,0.009616054613257085,0.9976047633013585,1.0945223245029152,0.020657447999951728
Localized reaction-diffusion layer,6,3,879,847,821,0.9693034238488784,1683,5659,0.006629597468753343,0.006623689739858492,0.009616054613257085,0.9983887963738943,1.0300064683662467,0.021970686000031492
Localized reaction-diffusion layer,6,999,879,847,847,1.0,1724,5863,0.006623689739858493,0.006623689739858492,0.009616054613257085,1.0,1.0,0.024708615999998074
Localized reaction-diffusion layer,7,0,1531,1498,651,0.43457943925233644,1878,2767,0.005222012865071368,0.0051227851783976625,0.006623786757396584,0.941781288223167,2.167109630965137,0.015786873999900308
Localized reaction-diffusion layer,7,1,1531,1498,1072,0.7156208277703605,2373,7060,0.005132219115703913,0.0051227851783976625,0.006623786757396584,0.9945129800326832,1.3897205635158203,0.029202370999996674
Localized reaction-diffusion layer,7,2,1531,1498,1275,0.8511348464619493,2704,8609,0.0051247895409024915,0.0051227851783976625,0.006623786757396584,0.998835055938669,1.1735332657224518,0.03442872300001909
Localized reaction-diffusion layer,7,3,1531,1498,1408,0.9399198931909212,2915,9646,0.005123854646866444,0.0051227851783976625,0.006623786757396584,0.9993784770585498,1.0632592035750765,0.03786844499995823
Localized reaction-diffusion layer,7,999,1531,1498,1498,1.0,3027,10416,0.005122785178397663,0.0051227851783976625,0.006623786757396584,1.0,1.0,0.04027095799995095
